analysis,group,n,events,median_survival_months,surv_3yr,HR,HR_lower,HR_upper,coef,p_value,concordance_index
KM by HMOX ratio tertile,Low,102,42,53.285151116951376,0.6118152800077006,,,,,,
KM by HMOX ratio tertile,Mid,102,35,41.75427069645203,0.5743003013496054,,,,,,
KM by HMOX ratio tertile,High,102,52,27.8580814717477,0.4610586807745667,,,,,,
Univariate Cox (log2 HMOX ratio),continuous,306,129,,,1.2028644647520714,1.0746652666533616,1.346356828921304,0.1847057662664409,0.0013167038272444813,0.5716910920200303
Multivariate Cox (log2 HMOX ratio + age + sex),continuous,300,124,,,1.2038657356680065,1.0731043629050787,1.3505608211227331,0.1855378254424359,0.0015634341530412438,0.5688816074784369
Multivariate Cox (covariate),age_years,300,124,,,1.009447817120107,0.9947672282420282,1.0243450593857204,0.009403465626967878,0.2083724080523553,
Multivariate Cox (covariate),is_male,300,124,,,0.9360784062898012,0.6432017688142149,1.362314012813531,-0.06605603860920427,0.7300755579222432,
