cohort,n,events,ci_naive,ci_optimized,cv_cindex,cv_std,perm_p,model,features,HR,HR_lower,HR_upper,cox_p,logrank_p
TCGA-LIHC (train),302,129,0.7170487435108192,0.7176459778563881,0.7351968153851036,0.0850344667416393,0.0,E: Cox(ROS+Alt+Interact),"['z_ros', 'z_alt', 'z_ros_x_alt']",,,,,
GSE14520,221,85,0.6371061000289101,0.6198323214801966,,,,,,2.342696780908771,1.4998481946503683,3.6591891278434927,0.00018285573440060828,0.00011648000335609053
