variable,kruskal_wallis_H,p_value,median_A,median_B,median_C,median_D
HMOX1 expression,16.164658427873633,0.0010491557466796992,1446.645,1076.31,836.431,940.177
HMOX2 expression,71.52632694151634,2.0108412862367196e-15,1220.71,2199.68,982.101000000001,1762.8400000000001
HMOX1/HMOX2 ratio,38.90943465967166,1.814058302101776e-08,1.1681721083954866,0.67960259084422,1.125000390863998,0.5113306526762319
log2(HMOX1/HMOX2),38.90943465967166,1.814058302101776e-08,0.22424791802997596,-0.5572367423784967,0.16992550268449344,-0.967750491157478
