gene,spearman_rho,p_value,n,type,fdr_q,significant
TMEM173,-0.04426051512077037,0.4404389321416383,306,individual_gene,0.9854088210020706,False
C6orf150,0.0010497714816050632,0.9854088210020706,306,individual_gene,0.9854088210020706,False
TBK1,0.17803569764532076,0.0017682679488263274,306,individual_gene,0.01414614359061062,True
IRF3,0.005138643271694325,0.9286668731232738,306,individual_gene,0.9854088210020706,False
CXCL10,0.028712030548322286,0.6168617387516648,306,individual_gene,0.9854088210020706,False
CCL5,-0.013406877141843018,0.8153147556393703,306,individual_gene,0.9854088210020706,False
IFNB1,-0.022045269747560117,0.7009020085828092,306,individual_gene,0.9854088210020706,False
STING_composite,0.0733622524676021,0.20061961534105127,306,composite_score,0.8024784613642051,False
