group,n,events,event_rate_pct,median_survival_months,surv_1yr,surv_3yr,surv_5yr
A: Concordant High,106,63,59.43396226415094,13.961892247043364,0.5809281626734906,0.2967617497249358,0.19042212274016718
B: Ferroptosis-dominant,47,15,31.914893617021278,45.072273324572926,0.8585365853658534,0.6347782848151061,0.3967364280094413
C: Hypoxia-dominant,47,18,38.297872340425535,48.94875164257556,0.9318181818181821,0.5811558211711825,0.36227895345736055
D: Concordant Low,106,33,31.132075471698112,70.0065703022339,0.9190057962818976,0.7495964822456435,0.57865518278584
