variable_1,variable_2,spearman_rho,p_value,n,p_fdr
nrf2_activity,ros_risk_score,0.5920668176492576,2.4707770140760487e-30,306,1.2353885070380243e-29
nrf2_activity,alt_risk_score,0.1254648578072763,0.028204183339358146,306,0.028204183339358146
nrf2_activity,ferroptosis_vulnerability,-0.22042892876699996,0.00010104022822073191,306,0.00016840038036788652
nrf2_activity,HMOX1,0.25584429318264396,5.820844467919371e-06,306,1.4552111169798428e-05
nrf2_activity,HMOX2,0.1418987160197555,0.012968257916284517,306,0.016210322395355647
nrf2_activity vs NFE2L2,,0.12111463264218489,0.03419439925377978,306,0.03419439925377978
nrf2_activity vs KEAP1,,0.19674371804577015,0.0005373421826052036,306,0.0010746843652104073
