model,c_index_mean,c_index_95CI_lo,c_index_95CI_hi,n_successful_boots
Archetype + Age + Sex,0.6677102538027325,0.609399759356462,0.7210351739759042,499
Combined Score,0.7151669214484501,0.6646626255889725,0.7631963505525359,500
ROS Risk Score,0.6977364591114018,0.65108305649997,0.7460775708453419,500
Alt Risk Score,0.6723553837062144,0.612532783271694,0.731063600790301,500
Archetype Only,0.6578113841963737,0.6015015761189927,0.7111690243809593,499
