gene,drug,mechanism,mean_Cold-Quiescent,std_Cold-Quiescent,n_Cold-Quiescent,mean_HMOX2-Driven,std_HMOX2-Driven,n_HMOX2-Driven,mean_Immune-Active,std_Immune-Active,n_Immune-Active,mean_Immune-Active-4,std_Immune-Active-4,n_Immune-Active-4,mean_NRF2-Dominant,std_NRF2-Dominant,n_NRF2-Dominant,kruskal_H,kruskal_p
SLC7A11,Erastin,Ferroptosis (system Xc- inhibition),119.67785775862069,139.99262797192242,116,283.437623076923,756.6657922111256,39,257.39507924528306,434.4574441147732,53,132.6220323076923,302.4263122235776,65,795.937196551724,562.2531640510847,29,54.739735925187524,3.68361886068743e-11
GPX4,RSL3,Ferroptosis (GPX4 inhibition),7588.953362068966,3438.2757164483132,116,11944.848717948717,6100.701619104832,39,9565.111320754717,7759.702682683055,53,9124.130307692307,4954.242256152161,65,8633.700689655172,6800.401780660217,29,21.18757540457716,0.0002906710651222029
VEGFA,Sorafenib / Lenvatinib,Anti-angiogenic TKI,4771.0191379310345,2695.9484997014924,116,3140.3969230769226,1377.926363524389,39,4149.638169811321,3647.269188514437,53,3014.873846153846,1370.379716712548,65,3961.0210344827588,2241.1897747869557,29,37.50031796801511,1.4206268361078464e-07
KDR,Sorafenib / Lenvatinib,Anti-angiogenic TKI (VEGFR2),767.5022706896551,619.1622716705372,116,778.0117307692308,567.3568616488777,39,583.2251301886791,442.2295423033611,53,1066.7575384615386,917.7233973162386,65,519.8067586206897,324.2140837060957,29,21.35045182624708,0.000269819656885851
MTOR,Everolimus,mTOR inhibition,1932.4444224137935,1244.7383285495102,116,1914.513,1044.0910293481925,39,1572.3699622641502,734.2559590645528,53,1475.1577846153848,618.364497912702,65,1860.6661379310344,898.0203734176207,29,9.172300115070243,0.0569341622357022
RPS6KB1,Everolimus,mTOR pathway (S6K1),690.7248189655172,310.365774368037,116,569.1635897435898,228.12464089496962,39,622.0026226415094,226.35305379549703,53,555.3361230769231,204.66009614850634,65,622.7134827586208,251.07795684616426,29,19.33296719637474,0.0006759596676959046
CD274,Atezolizumab / Nivolumab,PD-L1 ICB,9.25870775862069,11.038583103327605,116,6.8688769230769235,5.631357670760434,39,34.58234716981132,52.78383791128174,53,14.06408153846154,24.65196156026364,65,9.788834482758618,7.150820781124953,29,40.374310096243406,3.621617683535787e-08
PDCD1,Pembrolizumab,PD-1 ICB,61.66964568965517,275.49169598447105,116,15.954494871794868,25.56708738954654,39,223.29534339622643,198.7917169086021,53,43.33598153846154,51.12936713007656,65,38.26940689655172,115.70507579873659,29,119.33592317719439,7.404452284122248e-25
TOP2A,Doxorubicin,Topoisomerase II inhibition,1629.0360974137932,1632.5710927208572,116,692.0448487179486,640.2374657176637,39,1656.2087849056602,1518.5709366272235,53,599.157683076923,662.7862344550225,65,1666.0203448275863,1368.1529721034558,29,49.58749619320383,4.402774780381209e-10
