group,metric,n,mean,median,std
A: Concordant High,nrf2_activity,106,0.2843311842372082,0.081537791586513,0.7501856237330857
B: Ferroptosis-dominant,nrf2_activity,47,0.3003500563613692,0.3202983984906911,0.544602440149072
C: Hypoxia-dominant,nrf2_activity,47,-0.36162368774988224,-0.40312109734109985,0.2151749653974642
D: Concordant Low,nrf2_activity,106,-0.2571626873007922,-0.336052500490118,0.30489950787036846
A: Concordant High,ferroptosis_vulnerability,106,0.01995397786329182,0.057993608286391385,1.1277724866806214
B: Ferroptosis-dominant,ferroptosis_vulnerability,47,-0.11927938685510091,-0.07105049950197495,1.1243132892126853
C: Hypoxia-dominant,ferroptosis_vulnerability,47,0.30882432446303143,0.28424509829892736,0.7030314021149533
D: Concordant Low,ferroptosis_vulnerability,106,-0.10399748793473287,-0.04093809871333663,0.8692189674567175
