model,variable,n,coef,HR,HR_lower,HR_upper,p_value
Univariate,group_A,306,1.281775427353852,3.6030309700362912,2.3429451754542883,5.540817731052341,5.301335321302301e-09
Univariate,group_B,306,0.4128747249805579,1.5111557040153871,0.8133014077433349,2.8078047572971934,0.19148904191768712
Univariate,group_C,306,0.488582678513799,1.6300043418288412,0.9092239180662027,2.922178026323564,0.10091255818263334
Multivariate,group_A,300,1.3041590820955462,3.6845893534162784,2.3606868144179054,5.750952909293979,9.390156921660373e-09
Multivariate,group_B,300,0.4776830206138902,1.6123343256299256,0.8543978709845221,3.042636300824303,0.1404007955154686
Multivariate,group_C,300,0.5736385308174793,1.774712664764209,0.9752575084851902,3.2295111958343954,0.06038875351688446
Multivariate,age_years,300,0.013284395808770512,1.0133730254235458,0.9983350777389258,1.028637490111933,0.08159265177371645
Multivariate,is_male,300,-0.12818414204454495,0.8796913760607556,0.6025740439044521,1.2842519935000276,0.5066820670422467
